id,email,city,occupation,link
29759677,,Uppsala,Teamledare,https://arbetsformedlingen.se/platsbanken/annonser/29759677
29760945,,Uppsala,Logistikchef,https://arbetsformedlingen.se/platsbanken/annonser/29760945
29760831,,Uppsala,Teamledare,https://arbetsformedlingen.se/platsbanken/annonser/29760831
29761453,,Uppsala,"Arbetsledare, lager",https://arbetsformedlingen.se/platsbanken/annonser/29761453
29761794,,Uppsala,"Sektionschef, offentlig förvaltning",https://arbetsformedlingen.se/platsbanken/annonser/29761794
29762611,,Uppsala,Personalansvarig,https://arbetsformedlingen.se/platsbanken/annonser/29762611
29763129,,Uppsala,Butikschef,https://arbetsformedlingen.se/platsbanken/annonser/29763129
29763190,,Uppsala,Miljö- och klimatstrateg,https://arbetsformedlingen.se/platsbanken/annonser/29763190
29763340,,Uppsala,"Projektledare: kultur, media, film, dataspel",https://arbetsformedlingen.se/platsbanken/annonser/29763340
29763490,,Uppsala,"Arbetsledare, anläggning",https://arbetsformedlingen.se/platsbanken/annonser/29763490
29763738,,Uppsala,Försäljningschef,https://arbetsformedlingen.se/platsbanken/annonser/29763738
29763936,,Uppsala,"Projektledare, bygg och anläggning",https://arbetsformedlingen.se/platsbanken/annonser/29763936
29764242,,Uppsala,"Förvaltningschef, kommun",https://arbetsformedlingen.se/platsbanken/annonser/29764242
29765342,,Uppsala,Account manager,https://arbetsformedlingen.se/platsbanken/annonser/29765342
29765403,Hays.19889.3101@haysse.aplitrak.com,Uppsala,Kvalitetschef,https://arbetsformedlingen.se/platsbanken/annonser/29765403
29765599,,Tierp,Privatekonomisk rådgivare,https://arbetsformedlingen.se/platsbanken/annonser/29765599
29766164,,Uppsala,"Verksamhetschef, hälso- och sjukvård",https://arbetsformedlingen.se/platsbanken/annonser/29766164
29766631,,Uppsala,"Verksamhetschef, hälso- och sjukvård",https://arbetsformedlingen.se/platsbanken/annonser/29766631
29767137,,Uppsala,Redovisningsekonom,https://arbetsformedlingen.se/platsbanken/annonser/29767137
29726866,registrator@etikprovning.se,Uppsala,Förvaltningsjurist,https://arbetsformedlingen.se/platsbanken/annonser/29726866
29767440,,Uppsala,Butikschef,https://arbetsformedlingen.se/platsbanken/annonser/29767440
29767886,,Uppsala,Redovisningsekonom,https://arbetsformedlingen.se/platsbanken/annonser/29767886
29768717,,Uppsala,"Produktchef, marknadsföring",https://arbetsformedlingen.se/platsbanken/annonser/29768717
29769570,,Uppsala,Butikschef,https://arbetsformedlingen.se/platsbanken/annonser/29769570
29770263,,Uppsala,"Enhetschef, hälso- och sjukvård",https://arbetsformedlingen.se/platsbanken/annonser/29770263
